question,ground_truth,answer,architecture,source_file,predicted_sources,category,difficulty,latency_sec,status,error,exact_match,token_f1,rouge_l_f1,source_hit,source_precision,source_recall,source_mrr
Why does TabNet argue that deep learning is still worth exploring for tabular data even though tree-based methods dominate?,"TabNet argues this because end-to-end gradient-based learning can reduce feature engineering, support multimodal and streaming settings, enable representation learning and semi-supervised learning, and still compete with or outperform tabular baselines when designed appropriately.","TabNet argues that deep learning is worth exploring for tabular data because it enables gradient descent-based end-to-end learning, which can efficiently encode multiple data types, alleviate the need for feature engineering, and allow for representation learning, among other benefits.",crag_rewrite,"[""TabNet.pdf""]","[""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf""]",multi_chunk_synthesis,hard,12.334,ok,,0.0,0.36111111111111105,0.3055555555555555,1.0,1.0,1.0,1.0
Why can making a neural network deeper actually make optimization worse even when overfitting is not the main issue?,"Because deeper plain networks can suffer from the degradation problem: optimization becomes harder, training error can increase with depth, and the solver may fail to find good solutions even though deeper models should in principle be able to represent at least the shallower solution.","Making a neural network deeper can actually make optimization worse because, even when overfitting is not the main issue, adding more layers can lead to higher training error, a problem known as degradation, which occurs when the network depth increases, causing accuracy to get saturated and then degrade rapidly.",crag_rewrite,"[""ImgRecog.pdf""]","[""ImgRecog.pdf"", ""TabNet.pdf"", ""TabNet.pdf""]",paraphrase_hard_retrieval,hard,11.3034,ok,,0.0,0.3440860215053763,0.15053763440860213,1.0,0.5,1.0,1.0
"Which shift in English teaching moved away from abstract grammar translation toward listening, speaking, and pronunciation?",That shift was the Reform movement and its direct-method orientation.,"The Reform movement was a shift in English teaching that moved away from abstract grammar translation toward listening, speaking, and pronunciation.",crag_rewrite,"[""English.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf""]",paraphrase_hard_retrieval,medium,11.3832,ok,,0.0,0.45161290322580644,0.25806451612903225,1.0,1.0,1.0,1.0
What BERT pre-training setup lets a token use both left and right context instead of only earlier tokens?,BERT’s masked language model objective enables bidirectional context because masked tokens are predicted using both left and right context.,"The BERT pre-training setup that lets a token use both left and right context instead of only earlier tokens is the masked language model, which enables the representation to fuse the left and the right context.",crag_rewrite,"[""BERT.pdf""]","[""BERT.pdf"", ""BERT.pdf"", ""BERT.pdf""]",paraphrase_hard_retrieval,medium,11.2939,ok,,0.0,0.4000000000000001,0.2909090909090909,1.0,1.0,1.0,1.0
How do the Transformer and BERT papers use attention differently in their main contributions?,"The Transformer paper introduces an attention-only encoder-decoder architecture for sequence transduction, while the BERT paper uses Transformer attention inside a bidirectional pretrained language model for general-purpose language representation learning and fine-tuning.",,crag_rewrite,"[""AttentionIsAllYouNeed.pdf"", ""BERT.pdf""]",[],cross_paper_comparison,hard,12.6687,error,"{""status_code"": 500, ""detail"": ""{\""detail\"":{\""message\"":\""Brain processing failed.\"",\""architecture\"":\""crag_rewrite\"",\""error\"":\""cannot access local variable 'rewritten_query' where it is not associated with a value\""}}""}",,,,,,,
How do ResNet and TabNet each try to improve optimization or learning efficiency in different data settings?,"ResNet improves optimization in very deep vision networks by learning residual functions with shortcut connections, while TabNet improves efficiency in tabular learning by using sparse sequential attention to focus model capacity on salient features.",,crag_rewrite,"[""ImgRecog.pdf"", ""TabNet.pdf""]",[],cross_paper_comparison,hard,10.7369,error,"{""status_code"": 500, ""detail"": ""{\""detail\"":{\""message\"":\""Brain processing failed.\"",\""architecture\"":\""crag_rewrite\"",\""error\"":\""cannot access local variable 'rewritten_query' where it is not associated with a value\""}}""}",,,,,,,
How do the English paper and the RAG survey each connect broad theory to practical application?,"The English paper connects theories of language and English’s global status to curriculum and teaching practice in Norway, while the RAG survey connects high-level RAG paradigms and component design to practical system building, benchmarks, and evaluation.",,crag_rewrite,"[""English.pdf"", ""RAGSurvey.pdf""]",[],cross_paper_comparison,hard,11.7885,error,"{""status_code"": 500, ""detail"": ""{\""detail\"":{\""message\"":\""Brain processing failed.\"",\""architecture\"":\""crag_rewrite\"",\""error\"":\""cannot access local variable 'rewritten_query' where it is not associated with a value\""}}""}",,,,,,,
In which paper does attention refer to sequential feature selection over tabular columns rather than sequence transduction over token positions?,"That usage appears in TabNet, where attention selects tabular features at each decision step rather than modeling token-to-token dependencies in a sequence.","The paper that refers to attention as sequential feature selection over tabular columns rather than sequence transduction over token positions is TabNet, which uses sequential attention to choose which features to reason from at each decision step.",crag_rewrite,"[""TabNet.pdf"", ""AttentionIsAllYouNeed.pdf""]","[""TabNet.pdf"", ""TabNet.pdf"", ""TabNet.pdf""]",distractor_edge_case,hard,11.2655,ok,,0.0,0.4067796610169491,0.27118644067796616,1.0,1.0,0.5,1.0
"Which paper discusses Naive, Advanced, and Modular RAG rather than introducing a new encoder architecture?","The RAG survey discusses Naive, Advanced, and Modular RAG; it is a taxonomy and survey paper rather than a paper proposing a new encoder architecture.","The RAGSurvey.pdf discusses Naive, Advanced, and Modular RAG, presenting an evolution of the RAG paradigms from sequential indexing-retrieval-generation to complex modular architectures.",crag_rewrite,"[""RAGSurvey.pdf"", ""AttentionIsAllYouNeed.pdf"", ""BERT.pdf""]","[""RAGSurvey.pdf"", ""RAGSurvey.pdf"", ""RAGSurvey.pdf""]",distractor_edge_case,medium,10.4463,ok,,0.0,0.3404255319148936,0.29787234042553196,1.0,1.0,0.3333333333333333,1.0
Which paper is about language beliefs and English teaching in Norway rather than neural representation learning?,"That is What is English?, which focuses on language beliefs, English teaching, and the status of English in Norway.",The paper discussed in DOCUMENT [2] is about language beliefs and English teaching in Norway.,crag_rewrite,"[""English.pdf"", ""BERT.pdf"", ""AttentionIsAllYouNeed.pdf"", ""TabNet.pdf"", ""ImgRecog.pdf""]","[""English.pdf"", ""English.pdf"", ""English.pdf""]",distractor_edge_case,easy,12.0036,ok,,0.0,0.5294117647058824,0.4117647058823529,1.0,1.0,0.2,1.0
