episode,question_id,final_status,total_reward,num_steps,num_llm_calls,latency_seconds,token_usage,citation_support,verification_pass,buffer_size,total_updates,critic_loss,actor_loss_retriever,actor_loss_grader,actor_loss_generator,actor_loss_verifier
93,Q034,accepted,0.49139999999999995,4,3,16.5848,4278,1.0,1,465,0,,,,,
94,Q034,accepted,0.4971,4,3,22.1844,4242,1.0,1,469,0,,,,,
95,Q020,accepted,0.5549,4,3,16.5361,4069,1.0,1,473,0,,,,,
96,Q005,accepted,0.7656,4,3,10.6349,3242,1.0,1,477,0,,,,,
97,Q028,accepted,0.5749,4,3,18.1234,4191,1.0,1,481,0,,,,,
98,Q022,accepted,0.6997,4,3,12.2433,3246,1.0,1,485,0,,,,,
99,Q017,accepted,0.5686,4,2,9.7677,1879,1.0,1,489,0,,,,,
100,Q036,accepted,0.5903999999999999,4,3,12.4924,3829,1.0,1,493,0,,,,,
101,Q004,accepted,0.3101999999999999,10,7,31.4166,8230,1.0,1,503,0,,,,,
102,Q004,accepted,0.6866,4,3,15.8727,3947,1.0,1,507,0,,,,,
103,Q014,rejected,-0.8773000000000001,10,7,26.6269,6208,0.5,0,517,0,,,,,
104,Q019,accepted,0.5886,4,3,13.9682,3804,1.0,1,521,0,,,,,
105,Q030,accepted,0.5654,4,3,10.9502,3851,1.0,1,525,0,,,,,
106,Q025,accepted,0.592,4,3,13.6811,3799,1.0,1,529,0,,,,,
107,Q019,accepted,0.595,4,3,12.3808,3491,1.0,1,533,0,,,,,
108,Q022,accepted,0.6727,4,3,11.9706,3252,1.0,1,537,0,,,,,
109,Q002,accepted,0.6634,4,3,11.794,3687,1.0,1,541,0,,,,,
110,Q032,accepted,0.06959999999999988,10,6,27.8758,5082,1.0,1,551,0,,,,,
111,Q034,accepted,0.3058999999999999,7,4,24.5131,3846,1.0,1,558,0,,,,,
112,Q019,accepted,0.603,4,3,23.6541,3785,1.0,1,562,0,,,,,
113,Q013,accepted,0.5357,4,3,13.8526,3898,1.0,1,566,0,,,,,
114,Q007,accepted,0.6244,4,3,13.336,4303,1.0,1,570,0,,,,,
115,Q010,accepted,0.6395,4,2,8.1547,1557,1.0,1,574,0,,,,,
116,Q021,accepted,0.5132,4,3,15.4662,3557,1.0,1,578,0,,,,,
117,Q035,rejected,-0.7130000000000001,10,7,26.9782,6832,0.3333,0,588,1,0.313382,-0.060984,-0.265755,-0.349048,-0.446657
118,Q004,accepted,0.6547999999999999,4,2,8.1539,749,1.0,1,592,2,0.260509,-0.434587,-0.536608,-0.577195,-0.600911
119,Q008,accepted,0.5594,4,3,17.0814,3535,1.0,1,596,3,0.190356,-0.472971,-0.547898,-0.56877,-0.565065
120,Q004,accepted,0.6808,4,2,6.0219,1033,1.0,1,600,4,0.179571,-0.535194,-0.588217,-0.600354,-0.597581
121,Q028,accepted,0.6054999999999999,4,2,6.9881,828,1.0,1,604,5,0.104046,-0.614806,-0.654865,-0.664463,-0.663326
122,Q032,accepted,0.2703999999999999,7,4,21.6977,2038,1.0,1,611,5,,,,,
123,Q036,accepted,0.5515,4,2,4.3521,634,1.0,1,615,5,,,,,
124,Q002,accepted,0.7162999999999999,4,2,4.6863,395,1.0,1,619,5,,,,,
125,Q012,accepted,0.4406,4,2,8.2672,748,1.0,1,623,5,,,,,
126,Q009,accepted,0.507,4,3,10.4721,2621,1.0,1,627,5,,,,,
127,Q008,accepted,0.5741999999999999,4,2,8.3868,438,1.0,1,631,5,,,,,
128,Q030,accepted,0.5751999999999999,4,2,6.6316,512,1.0,1,635,5,,,,,
129,Q038,accepted,0.5648,4,2,6.5074,1036,1.0,1,639,5,,,,,
130,Q020,accepted,0.5807,4,2,6.6676,503,1.0,1,643,5,,,,,
131,Q020,accepted,0.5740999999999999,4,2,7.2197,772,1.0,1,647,5,,,,,
132,Q036,accepted,0.5468,4,2,5.2126,343,1.0,1,651,5,,,,,
133,Q036,accepted,0.5822999999999999,4,2,4.7751,363,1.0,1,655,5,,,,,
134,Q018,rejected,-0.6376000000000001,10,6,16.234,1369,0.5,0,665,5,,,,,
135,Q032,accepted,0.27329999999999993,7,4,18.4773,1332,1.0,1,672,6,0.078193,-0.689436,-0.717,-0.720283,-0.721406
136,Q021,accepted,0.5167999999999999,4,2,6.8315,567,1.0,1,676,7,0.087237,-0.6762,-0.694427,-0.697911,-0.705001
137,Q036,accepted,0.593,4,2,6.2255,363,1.0,1,680,8,0.046165,-0.598837,-0.619206,-0.621695,-0.635333
138,Q008,accepted,0.571,4,2,8.7161,503,1.0,1,684,9,0.08088,-0.670189,-0.682554,-0.684407,-0.700589
139,Q007,accepted,0.6178,4,2,5.2442,329,1.0,1,688,10,0.076888,-0.719652,-0.725443,-0.72676,-0.743806
140,Q004,accepted,0.6314,4,2,5.4113,435,1.0,1,692,11,0.08391,-0.860603,-0.865742,-0.866815,-0.881142
141,Q011,rejected,-0.8598000000000001,10,6,12.8627,1328,0.5,0,702,11,,,,,
142,Q013,accepted,0.5423,4,2,6.4655,523,1.0,1,706,11,,,,,
143,Q019,accepted,0.5947,4,2,6.6375,556,1.0,1,710,11,,,,,
144,Q033,rejected,-0.5462,10,6,21.2762,1667,0.6667,0,720,12,0.021522,-0.949081,-0.953238,-0.95461,-0.96505
145,Q026,rejected,-0.871,10,6,16.5819,1483,0.5,0,730,12,,,,,
146,Q002,accepted,0.6660999999999999,4,2,5.2038,395,1.0,1,734,12,,,,,
147,Q003,timeout,-0.9153000000000001,12,6,15.2718,1044,0.0,0,746,12,,,,,
148,Q001,accepted,0.5879,4,2,5.1211,409,1.0,1,750,12,,,,,
149,Q019,accepted,0.6007,4,2,6.2505,518,1.0,1,754,12,,,,,
150,Q028,accepted,0.5931,4,2,7.7338,504,1.0,1,758,12,,,,,
151,Q021,accepted,0.5416,4,2,7.4458,567,1.0,1,762,12,,,,,
152,Q021,accepted,0.5165,4,2,7.721,567,1.0,1,766,12,,,,,
153,Q003,rejected,-0.8698000000000001,10,6,16.3823,1388,0.5,0,776,13,0.107666,-0.967562,-0.969538,-0.97187,-0.980945
154,Q018,timeout,-0.6808000000000002,12,6,15.2312,1031,0.0,0,788,14,0.070267,-0.919476,-0.92062,-0.92329,-0.932809
155,Q006,accepted,0.257,10,5,10.9316,759,1.0,1,798,14,,,,,
156,Q010,accepted,0.5994999999999999,4,2,6.5947,456,1.0,1,802,14,,,,,
157,Q024,accepted,0.5518,4,2,7.196,574,1.0,1,806,14,,,,,
158,Q004,accepted,0.6203,4,2,5.754,475,1.0,1,810,14,,,,,
159,Q026,rejected,-0.8705,10,6,15.1748,1484,0.5,0,820,15,0.05956,-0.843948,-0.844716,-0.847242,-0.854677
160,Q033,timeout,-0.6032000000000002,12,6,19.8921,1303,0.0,0,832,16,0.093368,-0.741967,-0.743497,-0.74528,-0.753596
161,Q007,accepted,0.6176999999999999,4,2,5.4567,329,1.0,1,836,17,0.069133,-0.69073,-0.6935,-0.695463,-0.70347
162,Q028,accepted,0.5927,4,2,8.596,503,1.0,1,840,18,0.089783,-0.721849,-0.725157,-0.72655,-0.735396
163,Q036,accepted,0.5938,4,2,4.3455,363,1.0,1,844,19,0.069825,-0.734333,-0.737615,-0.738522,-0.747325
164,Q003,rejected,-0.8800000000000001,10,6,14.0181,1388,0.5,0,854,19,,,,,
165,Q015,timeout,-0.8728000000000001,12,6,15.0721,1080,0.0,0,866,19,,,,,
166,Q008,accepted,0.5599,4,2,6.998,486,1.0,1,870,19,,,,,
167,Q021,accepted,0.5418999999999999,4,2,6.6138,567,1.0,1,874,19,,,,,
168,Q011,rejected,-0.8612000000000001,10,6,19.726,1332,0.5,0,884,20,0.067354,-0.782933,-0.785881,-0.786591,-0.795278
169,Q020,accepted,0.5811999999999999,4,2,5.6002,503,1.0,1,888,21,0.039451,-0.845587,-0.847856,-0.848346,-0.857776
170,Q016,accepted,0.5165,4,2,9.7614,649,1.0,1,892,22,0.042659,-0.867891,-0.87085,-0.871384,-0.880844
171,Q019,accepted,0.6003999999999999,4,2,6.9481,518,1.0,1,896,23,0.030386,-0.823246,-0.825686,-0.826009,-0.833658
172,Q015,accepted,0.08449999999999996,7,4,11.4954,955,1.0,1,903,23,,,,,
173,Q021,accepted,0.5404,4,2,10.2915,567,1.0,1,907,23,,,,,
174,Q033,accepted,0.5652999999999999,4,2,8.1895,549,1.0,1,911,23,,,,,
175,Q037,accepted,0.6294,4,2,5.9543,363,1.0,1,915,23,,,,,
176,Q010,accepted,0.5774,4,2,6.1868,461,1.0,1,919,23,,,,,
177,Q012,rejected,-0.6285000000000001,10,6,18.7796,1613,0.6667,0,929,23,,,,,
178,Q001,rejected,-0.685,10,6,11.8922,1233,0.0,0,939,23,,,,,
179,Q012,rejected,-0.6114,10,6,18.0065,1619,0.6667,0,949,23,,,,,
180,Q011,rejected,-0.8582000000000001,10,6,12.5578,1334,0.5,0,959,23,,,,,
181,Q017,accepted,0.5913999999999999,4,2,7.1721,585,1.0,1,963,23,,,,,
182,Q010,accepted,0.5708,4,2,6.3448,465,1.0,1,967,23,,,,,
183,Q003,rejected,-0.9011,10,6,17.1875,1386,0.5,0,977,23,,,,,
184,Q006,rejected,-0.7771000000000001,10,6,10.4788,1068,0.0,0,987,23,,,,,
185,Q001,accepted,0.5875,4,2,6.0295,710,1.0,1,991,23,,,,,
186,Q035,rejected,-0.5261,10,6,20.3017,1937,0.6667,0,1001,23,,,,,
187,Q023,accepted,0.5578,4,2,9.5448,600,1.0,1,1005,23,,,,,
188,Q018,rejected,-0.6621000000000001,10,6,14.8682,1369,0.5,0,1015,23,,,,,
189,Q011,rejected,-0.8659000000000001,10,6,15.2693,1342,0.5,0,1025,23,,,,,
190,Q037,accepted,0.6297999999999999,4,2,4.9302,363,1.0,1,1029,23,,,,,
191,Q007,accepted,0.618,4,2,4.7848,329,1.0,1,1033,23,,,,,
192,Q028,accepted,0.5933999999999999,4,2,6.9664,503,1.0,1,1037,23,,,,,
193,Q022,accepted,0.7029,4,2,4.5179,397,1.0,1,1041,23,,,,,
194,Q032,accepted,0.04839999999999989,10,6,33.7758,2202,1.0,1,1051,23,,,,,
195,Q012,rejected,-0.6313000000000001,10,6,25.4935,1629,0.6667,0,1061,23,,,,,
196,Q029,accepted,0.6297999999999999,4,2,6.5955,486,1.0,1,1065,23,,,,,
197,Q016,accepted,0.5287,4,2,8.0226,671,1.0,1,1069,23,,,,,
198,Q031,accepted,0.17399999999999993,10,6,20.827,1905,1.0,1,1079,23,,,,,
199,Q008,accepted,0.5659,4,2,6.9415,486,1.0,1,1083,23,,,,,
200,Q036,accepted,0.5937,4,2,4.5081,363,1.0,1,1087,23,,,,,
