episode,step,active_agent,valid_actions,discrete_action,reward,done,next_active_agent,raw_0,raw_1,raw_2,raw_3,padded_0,padded_1,padded_2,padded_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold
8,6,generator,generate_answer|generate_with_strict_citations|generate_short_answer|regenerate,generate_short_answer,-0.07,0,verifier,-0.115669,-0.435933,0.088986,0.145604,-0.115669,-0.435933,0.088986,0.145604,,,,,,,,,,0.4421652816236019,0.28203362226486206,286,0.572801947593689,
8,7,verifier,verify_answer,verify_answer,0.4423,1,,0.187724,,,,0.187724,0.0,0.0,0.0,,,,,,,,,,,,,,0.5938620716333389
9,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.293601,0.415009,-0.250716,0.635924,0.293601,0.415009,-0.250716,0.635924,0.6468006074428558,15,0.3746422082185745,0.8179620206356049,,,,,,,,,,
9,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.289236,-0.390583,-0.021261,,-0.289236,-0.390583,-0.021261,0.0,,,,,,,0.3553820699453354,0.7914126023650169,0.48936925642192364,,,,,
9,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.206448,-0.316456,0.149028,0.352176,-0.206448,-0.316456,0.149028,0.352176,,,,,,,,,,0.39677608013153076,0.34177201986312866,323,0.676087960600853,
9,4,verifier,verify_answer,verify_answer,0.5879,1,,0.744755,,,,0.744755,0.0,0.0,0.0,,,,,,,,,,,,,,0.8723776042461395
10,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,0.116453,0.002108,0.018548,0.704461,0.116453,0.002108,0.018548,0.704461,0.5582267083227634,12,0.5092742303386331,0.8522303402423859,,,,,,,,,,
10,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,0.134178,-0.196296,0.312453,,0.134178,-0.196296,0.312453,0.0,,,,,,,0.5670889168977737,0.820555543154478,0.656226709485054,,,,,
10,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_answer,-0.07,0,verifier,0.031115,-0.842041,-0.001498,0.409087,0.031115,-0.842041,-0.001498,0.409087,,,,,,,,,,0.515557549893856,0.07897928357124329,307,0.7045436352491379,
10,4,verifier,verify_answer,verify_answer,0.7254,1,,0.473016,,,,0.473016,0.0,0.0,0.0,,,,,,,,,,,,,,0.7365079522132874
11,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,0.567351,-0.053768,0.152496,0.896416,0.567351,-0.053768,0.152496,0.896416,0.7836755514144897,12,0.5762481316924095,0.9482079446315765,,,,,,,,,,
11,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,loose_filter,-0.07,0,generator,0.352838,-0.149535,0.515522,,0.352838,-0.149535,0.515522,0.0,,,,,,,0.6764188706874847,0.8275698237121105,0.7577607929706573,,,,,
11,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_answer,-0.07,0,verifier,-0.223219,-0.480424,-0.08981,0.448823,-0.223219,-0.480424,-0.08981,0.448823,,,,,,,,,,0.388390488922596,0.25978781282901764,298,0.7244112938642502,
11,4,verifier,verify_answer,verify_answer,0.7227,1,,0.141819,,,,0.141819,0.0,0.0,0.0,,,,,,,,,,,,,,0.5709095522761345
12,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_retrieve,-0.02,0,grader,0.10738,0.309853,-0.315739,0.715772,0.10738,0.309853,-0.315739,0.715772,0.5536902025341988,14,0.3421303480863571,0.857886016368866,,,,,,,,,,
12,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,loose_filter,-0.07,0,generator,0.107877,-0.054746,0.470645,,0.107877,-0.054746,0.470645,0.0,,,,,,,0.5539385974407196,0.8417881175875663,0.7353225648403168,,,,,
12,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_answer,-0.07,0,verifier,-0.230714,-0.373306,-0.002506,0.412653,-0.230714,-0.373306,-0.002506,0.412653,,,,,,,,,,0.38464323431253433,0.31334714591503143,307,0.7063263207674026,
12,4,verifier,verify_answer,verify_answer,-0.07,0,verifier,0.717617,,,,0.717617,0.0,0.0,0.0,,,,,,,,,,,,,,0.8588085472583771
12,5,verifier,request_regeneration|request_more_retrieval|request_rewrite,request_regeneration,-0.07,0,generator,0.968393,,,,0.968393,0.0,0.0,0.0,,,,,,,,,,,,,,0.9841966331005096
12,6,generator,generate_answer|generate_with_strict_citations|generate_short_answer|regenerate,generate_short_answer,-0.07,0,verifier,-0.425446,-0.621796,0.228184,0.258539,-0.425446,-0.621796,0.228184,0.258539,,,,,,,,,,0.28727705776691437,0.18910178542137146,321,0.6292692571878433,
12,7,verifier,verify_answer,verify_answer,0.6912,1,,0.771742,,,,0.771742,0.0,0.0,0.0,,,,,,,,,,,,,,0.8858708739280701
13,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,dense_retrieve,-0.02,0,grader,0.554179,0.188447,-0.184742,0.589353,0.554179,0.188447,-0.184742,0.589353,0.7770892679691315,13,0.40762919187545776,0.7946763336658478,,,,,,,,,,
13,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,loose_filter,-0.07,0,generator,0.24267,-0.425539,0.576748,,0.24267,-0.425539,0.576748,0.0,,,,,,,0.6213351637125015,0.7861691161990165,0.7883742153644562,,,,,
13,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_answer,-0.07,0,verifier,-0.133399,-0.364183,-0.03702,0.415275,-0.133399,-0.364183,-0.03702,0.415275,,,,,,,,,,0.4333004057407379,0.3179085999727249,303,0.7076372653245926,
13,4,verifier,verify_answer,verify_answer,0.6663,1,,0.623384,,,,0.623384,0.0,0.0,0.0,,,,,,,,,,,,,,0.8116921782493591
14,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,0.67659,0.309626,0.030436,0.718924,0.67659,0.309626,0.030436,0.718924,0.8382948637008667,14,0.515218099579215,0.8594622313976288,,,,,,,,,,
14,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,loose_filter,-0.07,0,generator,0.364933,-0.200911,0.448766,,0.364933,-0.200911,0.448766,0.0,,,,,,,0.6824665069580078,0.8198633566498756,0.7243828624486923,,,,,
14,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.008245,-0.462457,-0.2047,0.173049,-0.008245,-0.462457,-0.2047,0.173049,,,,,,,,,,0.4958776985295117,0.2687714993953705,248,0.5865243151783943,
14,4,verifier,verify_answer,verify_answer,-0.07,0,verifier,0.553217,,,,0.553217,0.0,0.0,0.0,,,,,,,,,,,,,,0.7766085565090179
14,5,verifier,request_regeneration|request_more_retrieval|request_rewrite,request_regeneration,-0.07,0,generator,0.552862,,,,0.552862,0.0,0.0,0.0,,,,,,,,,,,,,,0.7764311730861664
14,6,generator,generate_answer|generate_with_strict_citations|generate_short_answer|regenerate,generate_short_answer,-0.07,0,verifier,0.120716,-0.530182,-0.26384,0.344504,0.120716,-0.530182,-0.26384,0.344504,,,,,,,,,,0.5603580549359322,0.234908789396286,260,0.6722518503665924,
14,7,verifier,verify_answer,verify_answer,-0.07,0,verifier,0.28781,,,,0.28781,0.0,0.0,0.0,,,,,,,,,,,,,,0.643904909491539
14,8,verifier,request_regeneration|request_more_retrieval|request_rewrite,request_more_retrieval,-0.07,0,retriever,-0.081638,,,,-0.081638,0.0,0.0,0.0,,,,,,,,,,,,,,0.4591810666024685
14,9,retriever,retrieve_more,retrieve_more,-0.02,0,grader,-0.350083,-0.352575,-0.091237,0.669443,-0.350083,-0.352575,-0.091237,0.669443,0.3249586969614029,9,0.45438162237405777,0.8347213566303253,,,,,,,,,,
14,10,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,loose_filter,-0.07,0,generator,0.207231,-0.157567,0.587599,,0.207231,-0.157567,0.587599,0.0,,,,,,,0.6036155074834824,0.8263650067150592,0.793799638748169,,,,,
14,11,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.55987,-0.608112,0.224597,-0.468101,-0.55987,-0.608112,0.224597,-0.468101,,,,,,,,,,0.220065176486969,0.19594401121139526,217,0.26594941318035126,
14,12,verifier,verify_answer,verify_answer,0.1498,1,,-0.359123,,,,-0.359123,0.0,0.0,0.0,,,,,,,,,,,,,,0.32043853402137756
15,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.381258,-0.344988,0.153473,0.682103,-0.381258,-0.344988,0.153473,0.682103,0.3093711882829666,9,0.5767363086342812,0.8410512506961823,,,,,,,,,,
15,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,loose_filter,-0.07,0,generator,-0.635523,-0.631726,0.404765,,-0.635523,-0.631726,0.404765,0.0,,,,,,,0.18223831057548523,0.7552410602569579,0.7023824155330658,,,,,
15,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.935602,-0.592145,0.513384,-0.411115,-0.935602,-0.592145,0.513384,-0.411115,,,,,,,,,,0.032198816537857056,0.2039276361465454,255,0.294442281126976,
15,4,verifier,verify_answer,verify_answer,0.7178,1,,-0.294919,,,,-0.294919,0.0,0.0,0.0,,,,,,,,,,,,,,0.3525402992963791
16,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.579878,-0.381001,0.093741,0.67946,-0.579878,-0.381001,0.093741,0.67946,0.21006080508232117,9,0.5468706041574478,0.8397300243377686,,,,,,,,,,
16,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,loose_filter,-0.07,0,generator,-0.78103,-0.93132,0.44624,,-0.78103,-0.93132,0.44624,0.0,,,,,,,0.10948517918586731,0.7103020697832108,0.7231198996305466,,,,,
16,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.827721,-0.759511,0.166638,-0.713887,-0.827721,-0.759511,0.166638,-0.713887,,,,,,,,,,0.08613955974578857,0.12024474143981934,178,0.14305660128593445,
16,4,verifier,verify_answer,verify_answer,0.6878,1,,-0.728821,,,,-0.728821,0.0,0.0,0.0,,,,,,,,,,,,,,0.13558942079544067
17,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.778577,-1.0,0.084866,0.408156,-0.778577,-1.0,0.084866,0.408156,0.11071154475212097,5,0.5424328446388245,0.704077959060669,,,,,,,,,,
17,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.629367,-0.818522,0.133559,,-0.629367,-0.818522,0.133559,0.0,,,,,,,0.1853162944316864,0.7272217482328415,0.5667796805500984,,,,,
17,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-1.0,-0.535351,0.067171,-0.566432,-1.0,-0.535351,0.067171,-0.566432,,,,,,,,,,0.0,0.232324481010437,189,0.21678394079208374,
17,4,verifier,verify_answer,verify_answer,0.7486,1,,-0.858278,,,,-0.858278,0.0,0.0,0.0,,,,,,,,,,,,,,0.07086116075515747
18,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,sparse_retrieve,-0.02,0,grader,-0.881582,-0.775155,-0.008358,0.910748,-0.881582,-0.775155,-0.008358,0.910748,0.05920898914337158,6,0.4958212422206998,0.9553742110729218,,,,,,,,,,
18,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.613235,-0.860736,0.192686,,-0.613235,-0.860736,0.192686,0.0,,,,,,,0.19338271021842957,0.7208895802497863,0.5963427871465683,,,,,
18,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.94508,-0.829008,0.184409,-0.505255,-0.94508,-0.829008,0.184409,-0.505255,,,,,,,,,,0.02745997905731201,0.08549606800079346,208,0.24737229943275452,
18,4,verifier,verify_answer,verify_answer,0.7838,1,,-0.821249,,,,-0.821249,0.0,0.0,0.0,,,,,,,,,,,,,,0.08937573432922363
19,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,sparse_retrieve,-0.02,0,grader,-0.919895,-1.0,-0.336783,0.730495,-0.919895,-1.0,-0.336783,0.730495,0.04005241394042969,5,0.3316084146499634,0.865247368812561,,,,,,,,,,
19,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.783828,-0.739967,0.003855,,-0.783828,-0.739967,0.003855,0.0,,,,,,,0.10808610916137695,0.7390050143003464,0.5019274440128356,,,,,
19,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.91902,-0.958886,-0.212265,-0.580006,-0.91902,-0.958886,-0.212265,-0.580006,,,,,,,,,,0.04049023985862732,0.020557016134262085,161,0.20999684929847717,
19,4,verifier,verify_answer,verify_answer,0.3961,1,,-1.0,,,,-1.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0
20,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,sparse_retrieve,-0.02,0,grader,-0.971347,-1.0,-0.466748,0.345371,-0.971347,-1.0,-0.466748,0.345371,0.01432657241821289,5,0.26662616431713104,0.6726853251457214,,,,,,,,,,
20,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.679248,-0.832082,-0.260687,,-0.679248,-0.832082,-0.260687,0.0,,,,,,,0.16037577390670776,0.7251876503229141,0.36965659260749817,,,,,
20,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.843287,-0.988823,-0.280493,-0.810101,-0.843287,-0.988823,-0.280493,-0.810101,,,,,,,,,,0.07835662364959717,0.005588740110397339,130,0.09494957327842712,
20,4,verifier,verify_answer,verify_answer,0.5458,1,,-1.0,,,,-1.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0
21,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,sparse_retrieve,-0.02,0,grader,-1.0,-0.885176,-0.54501,0.489783,-1.0,-0.885176,-0.54501,0.489783,0.0,5,0.22749513387680054,0.7448917031288147,,,,,,,,,,
21,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.567554,-0.805563,-0.679779,,-0.567554,-0.805563,-0.679779,0.0,,,,,,,0.21622294187545776,0.729165580868721,0.16011032462120056,,,,,
21,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.93168,-0.831137,-0.275809,-0.732649,-0.93168,-0.831137,-0.275809,-0.732649,,,,,,,,,,0.03415989875793457,0.08443167805671692,139,0.1336756944656372,
21,4,verifier,verify_answer,verify_answer,0.524,1,,-1.0,,,,-1.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0
22,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,sparse_retrieve,-0.02,0,grader,-0.672159,-0.904671,-0.945691,0.196248,-0.672159,-0.904671,-0.945691,0.196248,0.1639203131198883,5,0.02715456485748291,0.5981239005923271,,,,,,,,,,
22,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.807136,-0.9375,-0.779846,,-0.807136,-0.9375,-0.779846,0.0,,,,,,,0.09643206000328064,0.7093749731779098,0.11007687449455261,,,,,
22,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.982781,-1.0,-0.418636,-0.953922,-0.982781,-1.0,-0.418636,-0.953922,,,,,,,,,,0.008609741926193237,0.0,128,0.023038804531097412,
22,4,verifier,verify_answer,verify_answer,0.765,1,,-0.865196,,,,-0.865196,0.0,0.0,0.0,,,,,,,,,,,,,,0.06740188598632812
23,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,sparse_retrieve,-0.02,0,grader,-0.855323,-1.0,-0.938541,0.552502,-0.855323,-1.0,-0.938541,0.552502,0.07233834266662598,5,0.03072941303253174,0.7762512266635895,,,,,,,,,,
23,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.635347,-0.756468,-0.600894,,-0.635347,-0.756468,-0.600894,0.0,,,,,,,0.18232661485671997,0.736529728770256,0.19955304265022278,,,,,
23,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-1.0,-0.946009,-0.561895,-0.872613,-1.0,-0.946009,-0.561895,-0.872613,,,,,,,,,,0.0,0.026995688676834106,128,0.06369340419769287,
23,4,verifier,verify_answer,verify_answer,0.7951,1,,-0.898847,,,,-0.898847,0.0,0.0,0.0,,,,,,,,,,,,,,0.050576746463775635
24,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,sparse_retrieve,-0.02,0,grader,-0.74177,-1.0,-0.873365,0.284827,-0.74177,-1.0,-0.873365,0.284827,0.12911492586135864,5,0.06331765651702881,0.6424136459827423,,,,,,,,,,
24,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.93239,-1.0,-0.850368,,-0.93239,-1.0,-0.850368,0.0,,,,,,,0.03380477428436279,0.7,0.07481613755226135,,,,,
24,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.959038,-0.775841,-0.513137,-0.966836,-0.959038,-0.775841,-0.513137,-0.966836,,,,,,,,,,0.020481139421463013,0.11207965016365051,128,0.016582012176513672,
24,4,verifier,verify_answer,verify_answer,0.738,1,,-0.790829,,,,-0.790829,0.0,0.0,0.0,,,,,,,,,,,,,,0.10458564758300781
25,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,sparse_retrieve,-0.02,0,grader,-1.0,-0.927613,-0.991162,-0.035881,-1.0,-0.927613,-0.991162,-0.035881,0.0,5,0.004419147968292236,0.4820593111217022,,,,,,,,,,
25,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,rerank_only,-0.07,0,generator,-0.705955,-1.0,-0.733819,,-0.705955,-1.0,-0.733819,0.0,,,,,,,0.14702266454696655,0.7,0.13309067487716675,,,,,
25,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_short_answer,-0.07,0,verifier,-0.666345,-0.770786,-0.773498,-0.783452,-0.666345,-0.770786,-0.773498,-0.783452,,,,,,,,,,0.16682729125022888,0.11460724472999573,128,0.10827389359474182,
25,4,verifier,verify_answer,verify_answer,0.4926,1,,-1.0,,,,-1.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0
